PERSON_ID,POSITION,HEIGHT,WEIGHT,PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
1630173,F,6-8,243,Precious Achiuwa,1630173,22025,20.866666666666667,3.2,5.933333333333334,0.2,1.0,0.8666666666666667,1.8666666666666667,1.8,3.333333333333333,5.133333333333334,0.9333333333333332,0.7333333333333333,0.4,0.5333333333333333,1.7333333333333334,7.466666666666667,0.5393258426966292,0.4642857142857143,0.2,4.733333333333333,0.6338028169014085,0.5333333333333333,0.125,0.2,0.0,0.4666666666666667,0.2857142857142857,7.0,27.0,0.3333333333333333,15.0,89.0,80,12.881789137380192,1.6102236421725238,3.1054313099041533,5.750798722044728,1.2651757188498403,0.6900958466453675,0.9201277955271565,8.166134185303514,0.9201277955271565,0.34504792332268375,0.805111821086262,6
203500,C,6-11,265,Steven Adams,203500,22025,21.3125,2.375,4.4375,0.0,0.0,2.0,2.625,4.9375,4.375,9.3125,1.4375,0.625,0.75,1.125,1.8125,6.75,0.5352112676056338,0.7619047619047619,0.0,4.375,0.5285714285714286,0.0,0.0,0.0625,1.0,0.0,0.0,1.7887323943661972,10.0,0.6,16.0,71.0,83,11.40175953079179,2.4281524926686218,8.340175953079179,7.390029325513197,1.0557184750733137,1.2668621700879765,1.900293255131965,7.390029325513197,0.0,0.10557184750733138,0.0,1
1628389,C-F,6-9,255,Bam Adebayo,1628389,22025,30.1875,6.9375,14.75,1.875,5.25,3.75,4.625,1.375,7.375,8.75,2.5,1.0,0.8125,1.75,1.3125,19.5,0.4703389830508475,0.8108108108108109,0.3571428571428571,7.75,0.5483870967741935,2.1875,0.3142857142857143,1.75,0.4642857142857143,3.0625,0.3877551020408163,13.66101694915254,29.0,0.4871794871794871,16.0,236.0,81,23.25465838509317,2.9813664596273295,1.639751552795031,8.79503105590062,1.1925465838509317,0.968944099378882,2.0869565217391304,9.24223602484472,2.608695652173913,2.0869565217391304,3.6521739130434785,2
1630534,G,6-5,215,Ochai Agbaji,1630534,22025,13.5625,1.25,3.375,0.0625,1.1875,0.4375,0.625,0.375,1.5,1.875,0.75,0.4375,0.125,0.3125,1.6875,3.0,0.3703703703703703,0.7,0.0526315789473684,2.1875,0.5428571428571428,0.5625,0.0,0.0,0.0,0.625,0.1,9.314814814814817,26.0,0.6666666666666666,16.0,54.0,77,7.9631336405529956,1.9907834101382489,0.9953917050691244,3.9815668202764978,1.1612903225806452,0.3317972350230415,0.8294930875576036,5.806451612903226,1.4930875576036866,0.0,1.6589861751152073,3
1630583,F-C,7-0,215,Santi Aldama,1630583,22025,26.0,5.0,10.727272727272728,1.4090909090909092,4.2727272727272725,1.5909090909090908,2.3181818181818183,1.4545454545454546,5.0,6.454545454545454,3.090909090909091,0.9090909090909092,0.7727272727272727,1.0454545454545454,1.318181818181818,13.0,0.4661016949152542,0.6862745098039215,0.3297872340425532,5.5,0.5950413223140496,1.0454545454545454,0.6086956521739131,0.9545454545454546,0.3333333333333333,3.227272727272727,0.2394366197183098,13.173728813559322,29.0,0.4444444444444444,22.0,236.0,84,18.0,4.279720279720279,2.013986013986014,6.923076923076923,1.2587412587412588,1.0699300699300698,1.4475524475524475,7.615384615384615,1.4475524475524475,1.3216783216783217,4.468531468531468,2
1641725,G,6-5,185,Trey Alexander,1641725,22025,12.666666666666666,2.0,3.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,1.6666666666666667,0.6,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,12.333333333333334,23.0,1.0,3.0,9.0,77,13.263157894736842,3.789473684210526,0.0,3.789473684210526,0.9473684210526315,0.9473684210526315,0.9473684210526315,4.736842105263158,2.8421052631578947,0.9473684210526315,0.0,9
1629638,G,6-5,205,Nickeil Alexander-Walker,1629638,22025,32.80952380952381,6.9523809523809526,15.047619047619047,2.761904761904762,7.142857142857143,3.7142857142857135,4.380952380952381,0.7142857142857143,2.7142857142857144,3.4285714285714284,3.523809523809524,0.9523809523809524,0.8095238095238095,2.1904761904761907,2.095238095238096,20.38095238095238,0.4620253164556962,0.8478260869565217,0.3866666666666666,6.476190476190476,0.5514705882352942,2.095238095238096,0.4772727272727273,1.4285714285714286,0.4333333333333333,5.047619047619048,0.3490566037735849,14.670886075949369,30.0,0.52,21.0,316.0,77,22.362844702467342,3.8664731494920175,0.7837445573294629,2.978229317851959,1.0449927431059507,0.888243831640058,2.4034833091436867,7.105950653120464,2.298984034833092,1.5674891146589258,5.538461538461539,7
1628960,G,6-3,198,Grayson Allen,1628960,22025,31.642857142857142,6.071428571428571,13.142857142857142,3.7857142857142856,8.642857142857142,1.9285714285714288,2.4285714285714284,0.5,2.4285714285714284,2.9285714285714284,4.214285714285714,1.6428571428571428,0.2857142857142857,1.6428571428571428,2.357142857142857,17.857142857142858,0.4619565217391304,0.7941176470588236,0.4380165289256198,4.285714285714286,0.5166666666666667,1.3571428571428572,0.3684210526315789,0.2142857142857142,0.3333333333333333,7.285714285714286,0.4509803921568627,18.89130434782609,32.0,0.3333333333333333,14.0,184.0,75,20.316027088036115,4.794582392776523,0.5688487584650113,2.7629796839729117,1.8690744920993227,0.32505643340857787,1.8690744920993227,4.875846501128668,1.5440180586907448,0.24379232505643328,8.288939051918735,7
1628386,C,6-9,243,Jarrett Allen,1628386,22025,26.066666666666663,5.466666666666667,9.533333333333331,0.0,0.2666666666666666,3.4,4.4,2.4,5.2,7.6,1.8,1.0,0.8666666666666667,1.6,1.4666666666666666,14.333333333333334,0.5734265734265734,0.7727272727272726,0.0,8.866666666666667,0.5864661654135338,0.2,0.0,0.4,0.6666666666666666,0.0666666666666666,0.0,4.573426573426573,27.0,0.6153846153846154,15.0,143.0,81,19.795396419437346,2.4859335038363177,3.31457800511509,7.181585677749362,1.3810741687979542,1.1969309462915603,2.2097186700767266,12.245524296675194,0.2762148337595908,0.5524296675191817,0.09207161125319685,1
1630631,G,6-0,179,Jose Alvarado,1630631,22025,21.772727272727277,3.272727272727273,7.545454545454546,1.8636363636363635,4.818181818181818,0.6818181818181818,0.7727272727272727,0.4545454545454545,2.409090909090909,2.863636363636364,2.772727272727273,0.9545454545454546,0.0454545454545454,1.2272727272727273,2.090909090909091,9.090909090909092,0.4337349397590361,0.8823529411764706,0.3867924528301886,2.761904761904762,0.5172413793103449,1.380952380952381,0.3103448275862069,0.0952380952380952,0.5,3.6666666666666665,0.4155844155844156,17.85542168674699,31.0,0.5263157894736842,21.0,166.0,72,15.031315240083506,4.5845511482254695,0.7515657620041751,3.9832985386221287,1.578288100208768,0.07515657620041744,2.0292275574112733,4.566656725320607,2.2833283626603036,0.1574709215627795,6.062630480167013,7
