PERSON_ID,POSITION,HEIGHT,WEIGHT,PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,AVG_SPEED_OFF,AVG_SPEED_DEF,CATCHANDSHOOTPER36,CATCHANDSHOOT3PAPER36,PASSESMADEPER36,PASSESRECEIVEDPER36,DRIVE_PTS_PCT,DRIVESPER36,DRIVE_AST_PCT,AVG_OREB_DIST,AVG_DREB_DIST,CONTESTED_SHOTS_2PT_PER36,CONTESTED_SHOTS_3PT_PER36,DEFLECTIONS_PER36,OFF_PRBALLHANDLER_FREQ,OFF_PRROLLMAN_FREQ,OFF_POSTUP_FREQ,OFF_SPOTUP_FREQ,OFF_OFFSCREEN_FREQ,OFF_CUT_FREQ,DEF_PRBALLHANDLER_FREQ,DEF_PRROLLMAN_FREQ,DEF_POSTUP_FREQ,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
1630173,F,6-8,243,Precious Achiuwa,1630173,22025,20.3125,3.0,6.0,0.3333333333333333,1.125,0.8125,1.5416666666666667,1.875,3.5625,5.4375,1.1458333333333333,0.8333333333333334,0.5416666666666666,0.6666666666666666,1.6458333333333333,7.145833333333333,0.5,0.527027027027027,0.2962962962962963,4.76595744680851,0.5625,0.5531914893617021,0.2692307692307692,0.2127659574468085,0.2,0.5957446808510638,0.3214285714285714,7.430555555555555,29.0,0.3076923076923077,47.0,288.0,4.34,4.1,1.9507389162561577,1.9507389162561577,29.97044334975369,22.876847290640395,0.589,3.9014778325123154,0.103,7.2,5.1,5.660842754367935,3.329907502569373,2.700924974306269,0.0,0.143,0.0,0.245,0.0,0.11,0.0,0.061,0.076,80,12.664615384615384,2.0307692307692307,3.3230769230769233,6.313846153846154,1.476923076923077,0.96,1.1815384615384614,8.446743044189853,0.9804255319148937,0.3770867430441899,1.0558428805237317,8
203500,C,6-11,265,Steven Adams,203500,22025,22.8125,2.1875,4.34375,0.0,0.0,1.46875,2.53125,4.53125,4.09375,8.625,1.5,0.6875,0.625,1.09375,1.71875,5.84375,0.5035971223021583,0.5802469135802469,0.0,4.419354838709677,0.5036496350364964,0.0,0.0,0.064516129032258,0.5,0.0,0.0,2.287769784172662,11.0,0.25,31.0,139.0,4.05,4.03,0.3157894736842105,0.0,33.473684210526315,21.473684210526315,0.6,0.4736842105263157,0.1,4.5,5.1,6.164383561643835,2.564383561643836,1.5287671232876712,0.0,0.156,0.0,0.0,0.0,0.239,0.519,0.151,0.0,83,9.221917808219178,2.367123287671233,7.1506849315068495,6.46027397260274,1.084931506849315,0.9863013698630136,1.726027397260274,6.974105170128148,0.0,0.10181175430844001,0.0,7
1628389,C-F,6-9,255,Bam Adebayo,1628389,22025,31.354166666666668,6.5,14.6875,1.625,4.8125,3.8125,4.875,2.0625,7.833333333333333,9.895833333333334,2.7916666666666665,1.0208333333333333,0.7083333333333334,1.8541666666666667,1.6458333333333333,18.4375,0.4425531914893617,0.782051282051282,0.3376623376623376,7.854166666666667,0.5251989389920424,1.7708333333333333,0.3058823529411765,2.020833333333333,0.3711340206185567,3.0416666666666665,0.3561643835616438,12.84822695035461,29.0,0.4767441860465116,48.0,705.0,4.75,3.83,5.388535031847135,4.585987261146497,40.5859872611465,39.324840764331206,0.715,7.337579617834395,0.032,7.4,5.7,4.47011952191235,3.03585657370518,2.605577689243028,0.0,0.092,0.122,0.301,0.024,0.066,0.49,0.106,0.03,81,21.169435215946844,3.2053156146179402,2.3681063122923587,8.994019933554817,1.172093023255814,0.8132890365448505,2.12890365448505,9.017940199335548,2.0332225913621262,2.320265780730897,3.492358803986711,10
1630534,G,6-5,215,Ochai Agbaji,1630534,22025,15.55813953488372,1.6744186046511629,4.023255813953488,0.2790697674418604,1.5116279069767442,0.5813953488372093,0.6744186046511628,0.8372093023255814,1.5116279069767442,2.3488372093023258,0.7441860465116279,0.3953488372093023,0.2790697674418604,0.4418604651162791,1.744186046511628,4.209302325581396,0.4161849710982659,0.8620689655172414,0.1846153846153846,2.625,0.5523809523809524,0.875,0.2285714285714285,0.075,0.6666666666666666,0.75,0.1333333333333333,10.479768786127169,29.0,0.3333333333333333,40.0,173.0,4.91,4.53,3.4838709677419355,3.4838709677419355,30.65806451612903,23.225806451612904,0.5,2.554838709677419,0.042,7.1,8.1,4.64696734059098,2.6874027993779164,2.7993779160186625,0.0,0.0,0.0,0.281,0.0,0.146,0.366,0.065,0.039,77,9.739910313901346,1.7219730941704037,1.937219730941704,3.497757847533632,0.9147982062780269,0.6457399103139012,1.0224215246636772,6.073991031390134,2.024663677130045,0.173542600896861,1.7354260089686098,6
1630583,F-C,7-0,215,Santi Aldama,1630583,22025,27.837209302325583,5.3023255813953485,11.069767441860463,1.627906976744186,4.651162790697675,1.7674418604651163,2.6511627906976742,1.558139534883721,5.116279069767442,6.674418604651163,2.9302325581395348,0.8604651162790697,0.7209302325581395,1.2790697674418603,1.6046511627906976,14.0,0.4789915966386554,0.6666666666666667,0.35,5.488372093023256,0.6016949152542372,1.1395348837209305,0.5510204081632653,0.9302325581395348,0.4,3.511627906976744,0.2847682119205298,13.586134453781511,29.0,0.5,43.0,476.0,5.01,4.1,5.806451612903226,5.290322580645161,50.96774193548388,43.87096774193548,0.628,6.580645161290323,0.101,6.7,5.7,5.469115191986645,3.1252086811352253,1.8330550918196995,0.026,0.096,0.041,0.39,0.0,0.067,0.322,0.09,0.045,84,18.105263157894736,3.789473684210526,2.0150375939849625,6.616541353383458,1.112781954887218,0.932330827067669,1.6541353383458643,7.097744360902255,1.473684210526316,1.2030075187969922,4.541353383458646,8
1629638,G,6-5,205,Nickeil Alexander-Walker,1629638,22025,33.27777777777778,6.814814814814815,15.74074074074074,3.037037037037037,8.148148148148149,3.4074074074074074,3.851851851851852,0.5925925925925926,3.0185185185185186,3.611111111111111,3.703703703703704,1.1666666666666667,0.6111111111111112,2.037037037037037,2.185185185185185,20.07407407407408,0.4329411764705883,0.8846153846153847,0.3727272727272727,6.314814814814815,0.5131964809384164,2.2962962962962963,0.4677419354838709,1.2777777777777777,0.4202898550724637,5.851851851851852,0.3354430379746835,15.531764705882352,44.0,0.4351145038167939,54.0,850.0,5.38,4.15,6.939759036144578,6.72289156626506,43.69879518072288,52.48192771084337,0.588,9.433734939759036,0.07,12.4,8.8,2.627298050139276,1.1832869080779944,3.6300835654596098,0.189,0.03,0.0,0.232,0.092,0.026,0.328,0.072,0.069,77,21.716193656093495,4.006677796327212,0.6410684474123538,3.2654424040066776,1.2621035058430718,0.66110183639399,2.2036727879799667,6.831385642737896,2.4841402337228713,1.382303839732888,6.330550918196995,6
1628960,G,6-3,198,Grayson Allen,1628960,22025,30.31428571428572,5.628571428571429,13.457142857142856,3.342857142857143,9.057142857142855,2.4285714285714284,2.8857142857142857,0.7142857142857143,2.3142857142857145,3.0285714285714285,4.0,1.4285714285714286,0.2857142857142857,1.6857142857142855,2.257142857142857,17.02857142857143,0.4182590233545648,0.8415841584158416,0.3690851735015773,4.142857142857143,0.5241379310344828,1.2285714285714286,0.3720930232558139,0.2571428571428571,0.4444444444444444,7.828571428571428,0.3686131386861314,19.367303609341825,37.0,0.2916666666666667,35.0,471.0,4.81,3.89,6.059405940594059,6.059405940594059,44.9108910891089,50.97029702970297,0.427,12.831683168316832,0.133,16.3,8.9,1.8911174785100289,1.994269340974212,3.197707736389685,0.265,0.036,0.0,0.299,0.069,0.0,0.266,0.064,0.056,75,20.22243166823751,4.7502356267672,0.8482563619227143,2.7483506126295945,1.6965127238454285,0.33930254476908567,2.0018850141376054,4.919886899151743,1.4590009425070687,0.3053722902921771,9.296889726672948,4
1628386,C,6-9,243,Jarrett Allen,1628386,22025,27.3953488372093,5.767441860465116,9.255813953488373,0.0232558139534883,0.2093023255813953,3.046511627906977,4.069767441860465,2.3488372093023258,5.930232558139535,8.279069767441861,1.976744186046512,0.9767441860465116,0.8604651162790697,1.372093023255814,1.813953488372093,14.604651162790695,0.6231155778894472,0.7485714285714286,0.1111111111111111,8.511627906976743,0.644808743169399,0.1162790697674418,0.0,0.5348837209302325,0.4782608695652174,0.0930232558139534,0.25,4.575376884422111,27.0,0.6216216216216216,43.0,398.0,4.49,3.99,1.3186813186813189,0.1318681318681318,31.780219780219785,31.25274725274725,0.971,2.10989010989011,0.043,6.5,4.9,8.272340425531915,2.022127659574468,3.370212765957447,0.0,0.238,0.064,0.043,0.0,0.32,0.542,0.152,0.042,81,19.1918505942275,2.5976230899830224,3.0865874363327674,7.792869269949066,1.2835314091680814,1.130730050933786,1.8030560271646858,11.185059422750424,0.15280135823429533,0.7028862478777589,0.12224108658743622,7
1630631,G,6-0,179,Jose Alvarado,1630631,22025,21.818181818181817,2.977272727272727,7.045454545454546,1.818181818181818,4.886363636363637,0.5454545454545454,0.6818181818181818,0.3636363636363636,2.363636363636364,2.727272727272727,3.159090909090909,1.0,0.1136363636363636,1.1590909090909092,2.022727272727273,8.318181818181818,0.4225806451612903,0.8,0.3720930232558139,2.116279069767442,0.5494505494505495,1.441860465116279,0.3548387096774194,0.0930232558139534,0.25,3.558139534883721,0.3790849673202614,18.806451612903224,31.0,0.3636363636363636,43.0,310.0,4.6,4.13,4.954128440366973,4.954128440366973,56.97247706422018,58.78899082568808,0.385,7.26605504587156,0.133,17.1,10.4,0.6408376963350786,1.168586387434555,3.769633507853403,0.257,0.0,0.0,0.316,0.033,0.033,0.339,0.067,0.054,72,13.725000000000001,5.2125,0.6,3.9000000000000012,1.6500000000000001,0.18749999999999997,1.9125000000000003,3.4918604651162797,2.3790697674418606,0.15348837209302313,5.87093023255814,4
203937,F-G,6-8,230,Kyle Anderson,203937,22025,20.565217391304348,3.0,5.391304347826087,0.1304347826086956,0.217391304347826,1.2173913043478262,1.8695652173913044,0.9565217391304348,2.4782608695652173,3.4347826086956523,2.782608695652174,1.2173913043478262,0.6086956521739131,1.0,2.4782608695652173,7.3478260869565215,0.5564516129032258,0.6511627906976745,0.6,5.043478260869565,0.5431034482758621,0.1304347826086956,0.6666666666666666,0.1304347826086956,1.0,0.0869565217391304,0.5,6.258064516129032,25.0,0.6111111111111112,23.0,124.0,4.48,3.79,0.3512195121951219,0.1756097560975609,47.06341463414634,36.702439024390245,0.679,8.253658536585366,0.083,7.4,6.4,3.279661016949152,3.0508474576271185,5.338983050847458,0.07,0.07,0.0,0.182,0.0,0.147,0.439,0.071,0.0,80,12.862579281183933,4.871035940803383,1.6744186046511629,4.338266384778013,2.13107822410148,1.06553911205074,1.7505285412262157,8.828752642706132,0.22832980972515846,0.22832980972515846,0.15221987315010566,11
203507,F,6-11,243,Giannis Antetokounmpo,203507,22025,29.23333333333333,10.466666666666669,16.233333333333334,0.5,1.2666666666666666,6.533333333333333,9.933333333333334,2.8,7.233333333333333,10.033333333333331,5.6,0.9,0.7333333333333333,3.333333333333333,2.6,27.966666666666665,0.6447638603696099,0.6577181208053691,0.3947368421052631,13.137931034482758,0.7375328083989501,0.0344827586206896,1.0,2.3448275862068964,0.2647058823529412,1.2758620689655171,0.3783783783783784,5.675564681724846,35.0,0.618421052631579,29.0,487.0,4.38,3.62,0.9863013698630138,0.7397260273972602,54.49315068493151,61.89041095890412,0.793,11.95890410958904,0.079,5.2,5.1,3.0,1.9726027397260275,2.3013698630136985,0.077,0.064,0.202,0.061,0.0,0.079,0.358,0.072,0.0,83,34.440136830102624,6.89623717217788,3.44811858608894,8.907639680729762,1.1083238312428736,0.903078677309008,4.104903078677309,16.178980065269535,0.04246451460700658,2.887586993276452,1.5711870404592458,5
1630175,G,6-2,185,Cole Anthony,1630175,22025,15.057142857142855,2.8,6.6,0.6285714285714286,2.057142857142857,0.4571428571428571,0.7428571428571429,0.4571428571428571,2.0285714285714285,2.4857142857142858,3.4571428571428573,0.5714285714285714,0.3142857142857143,1.8571428571428568,2.085714285714286,6.685714285714286,0.4242424242424242,0.6153846153846153,0.3055555555555556,3.90625,0.488,0.53125,0.4117647058823529,1.0625,0.4411764705882353,1.71875,0.2727272727272727,13.48051948051948,31.0,0.4090909090909091,32.0,231.0,4.94,4.19,2.88,2.88,63.36,74.4,0.462,18.0,0.102,15.0,8.3,1.8,2.3760000000000003,2.664,0.511,0.0,0.0,0.16,0.0,0.0,0.328,0.06,0.0,74,15.984819734345352,8.265654648956358,1.092979127134725,4.850094876660342,1.366223908918406,0.7514231499051234,4.440227703984819,9.339421252371917,1.2701612903225807,2.5403225806451615,4.109345351043643,0
1628384,F-G,6-7,240,OG Anunoby,1628384,22025,33.04878048780488,5.829268292682927,12.170731707317072,2.073170731707317,5.609756097560975,2.8292682926829267,3.5365853658536586,1.4390243902439024,4.048780487804878,5.487804878048781,2.365853658536585,1.7317073170731707,0.6829268292682927,2.073170731707317,2.4878048780487805,16.5609756097561,0.4789579158316633,0.7999999999999999,0.3695652173913044,5.902439024390244,0.6115702479338843,3.0,0.4471544715447154,0.6585365853658537,0.2222222222222222,2.609756097560976,0.2803738317757009,13.02805611222445,28.0,0.5333333333333333,41.0,499.0,4.33,4.09,5.018181818181818,4.909090909090908,30.87272727272727,31.963636363636365,0.564,8.181818181818182,0.085,9.5,6.2,4.124168514412417,3.139689578713969,3.113082039911308,0.061,0.03,0.026,0.38,0.033,0.054,0.376,0.063,0.038,79,18.039852398523983,2.5771217712177115,1.5675276752767526,4.410332103321033,1.8863468634686344,0.7439114391143912,2.2583025830258303,6.429520295202951,3.2678966789667894,0.7173431734317343,2.8428044280442806,8
